Movie_Id,release_year,title,original,listed_in,imdbbis5
86,2015,"Monster High: Boo York, Boo York",0.0,"Children & Family Movies, Music & Musicals",3.25
87,2019,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,0.0,"Documentaries, International Movies",0.0
88,2019,Domino,0.0,"International Movies, Thrillers",0.0
89,2019,TUNA GIRL,0.0,"Dramas, International Movies",3.4
90,2012,5CM,0.0,"Dramas, International Movies",0.0
91,2018,Animal World,0.0,"Action & Adventure, International Movies, Sci-Fi & Fantasy",3.25
92,2018,Hold the Dark,1.0,"Action & Adventure, Dramas",2.8
93,2018,Lessons from a School Shooting: Notes from Dunblane,1.0,Documentaries,2.9
94,2018,Made in Mexico,1.0,"International TV Shows, Reality TV, Spanish-Language TV Shows",2.0
95,2015,Single,0.0,"Comedies, International Movies, Romantic Movies",3.4
96,2018,The 3rd Eye,1.0,"Horror Movies, International Movies",0.0
97,2013,The Sinking Of Van Der Wijck,0.0,"Dramas, International Movies, Romantic Movies",3.8
98,2018,Two Catalonias,1.0,"Documentaries, International Movies",3.25
99,2016,Bobby Sands: 66 Days,0.0,Documentaries,3.6
100,2019,Bard of Blood,1.0,"International TV Shows, TV Action & Adventure, TV Dramas",3.7
101,2018,Deliha 2,0.0,"Comedies, International Movies",2.25
102,2019,Dragons: Rescue Riders,0.0,"Kids' TV, TV Comedies",3.6
103,2019,In the Shadow of the Moon,1.0,"Dramas, Sci-Fi & Fantasy, Thrillers",3.1
104,2019,Skylines,1.0,"Crime TV Shows, International TV Shows, TV Dramas",3.8
105,2019,Sturgill Simpson Presents Sound & Fury,0.0,"Anime Features, Music & Musicals, Sci-Fi & Fantasy",3.25
106,2019,The Politician,1.0,"TV Comedies, TV Dramas, Teen TV Shows",3.8
107,2016,Weeds on Fire,0.0,"Dramas, Independent Movies, International Movies",3.4
108,2015,Much Loved,0.0,"Dramas, Independent Movies, International Movies",3.1
109,2000,Joseph: King of Dreams,0.0,"Children & Family Movies, Dramas, Faith & Spirituality",3.25
110,2019,Malaal,0.0,"International Movies, Romantic Movies",2.9
111,2013,The Grandmaster,0.0,"Action & Adventure, Dramas, International Movies",3.3
112,2018,The Inmate,0.0,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",3.55
113,2018,The Hurricane Heist,0.0,Action & Adventure,2.55
114,2017,Def Comedy Jam 25,0.0,Stand-Up Comedy,3.3
115,2016,Restless Creature: Wendy Whelan,0.0,Documentaries,3.55
116,2014,Print the Legend,1.0,Documentaries,3.55
117,2019,Birders,1.0,"Documentaries, International Movies",3.15
118,2019,Furie,1.0,"Action & Adventure, Dramas, International Movies",0.0
119,2016,Leap!,0.0,"Children & Family Movies, Comedies",3.4
120,2019,Oh! Baby (Malayalam),0.0,"Comedies, International Movies, Music & Musicals",0.0
121,2019,Oh! Baby (Tamil),0.0,"Comedies, International Movies, Music & Musicals",0.0
122,2016,USS Indianapolis: Men of Courage,0.0,Action & Adventure,2.6
123,2018,A Wrinkle in Time,0.0,Children & Family Movies,2.1
124,2017,Teach Us All,0.0,Documentaries,3.3
125,2016,White Island,0.0,"Comedies, Independent Movies, Thrillers",2.15
126,2019,Inside Man: Most Wanted,0.0,Action & Adventure,2.8
127,2019,Jeff Dunham: Beside Himself,0.0,Stand-Up Comedy,3.35
128,2017,China Salesman,0.0,"Action & Adventure, International Movies",1.5
129,2014,Swearnet: The Movie,0.0,"Comedies, International Movies",2.95
130,2017,The Bar,0.0,"Comedies, Horror Movies, International Movies",3.15
131,2019,Manmadhudu 2,0.0,"Comedies, Dramas, International Movies",2.4
132,2019,Team Kaylie,1.0,"Kids' TV, TV Comedies",2.15
133,2018,Under the Eiffel Tower,0.0,"Comedies, Independent Movies, Romantic Movies",2.5
134,2016,Audrie & Daisy,1.0,Documentaries,3.6
135,2016,Iliza Shlesinger: Confirmed Kills,0.0,Stand-Up Comedy,3.3
136,2019,BONDING,0.0,"TV Comedies, TV Dramas",3.6
137,2009,Do Paise Ki Dhoop Chaar Aane Ki Baarish,0.0,"Dramas, Independent Movies, International Movies",3.35
138,2013,20 Feet From Stardom,0.0,"Documentaries, Music & Musicals",3.7
139,2018,In Darkness,0.0,"Independent Movies, International Movies, Thrillers",2.9
140,2017,Gaga: Five Foot Two,1.0,"Documentaries, Music & Musicals",3.5
141,2016,The Bad Batch,1.0,"Dramas, Independent Movies, Thrillers",2.65
142,2015,SMOSH: The Movie,0.0,Comedies,1.65
143,2018,King of Boys,0.0,"Dramas, International Movies",2.75
144,2018,Merry Men: The Real Yoruba Demons,0.0,"Comedies, International Movies",2.95
145,2010,Sarah's Key,0.0,"Dramas, International Movies",3.75
146,2017,The Wedding Party 2: Destination Dubai,0.0,"Comedies, International Movies, Romantic Movies",2.25
147,2019,Vagabond,0.0,"International TV Shows, Korean TV Shows, TV Action & Adventure",4.2
148,2018,Battlefish,1.0,"Reality TV, Science & Nature TV, TV Action & Adventure",3.6
149,2018,DRAGON PILOT: Hisone & Masotan,0.0,"Anime Series, International TV Shows",3.45
150,2018,Hilda,0.0,Kids' TV,4.3
151,2018,Maniac,1.0,"TV Comedies, TV Dramas, TV Mysteries",3.9
152,2018,Quincy,1.0,"Documentaries, Music & Musicals",0.0
153,2018,Rafinha Bastos: Ultimatum,0.0,Stand-Up Comedy,3.25
154,2018,The Good Cop,1.0,"Crime TV Shows, TV Comedies, TV Dramas",3.5
155,2019,Between Two Ferns: The Movie,1.0,Comedies,3.05
156,2019,Criminal: France,1.0,"Crime TV Shows, International TV Shows, TV Dramas",3.6
157,2019,Criminal: Germany,1.0,"Crime TV Shows, International TV Shows, TV Dramas",3.85
158,2019,Criminal: Spain,1.0,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",3.45
159,2019,Criminal: UK,1.0,"British TV Shows, Crime TV Shows, International TV Shows",3.7
160,2019,Daddy Issues,0.0,"Dramas, Independent Movies, LGBTQ Movies",0.0
161,2019,Inside Bill's Brain: Decoding Bill Gates,1.0,"Docuseries, Science & Nature TV",4.0
